video_id,view_count,video_size,video_length
xd3h5KW7VM0,68398,223616733,1115
UffOtCb-jCE,610773,450634034,2120
CKow-eQPr8E,182107,466252162,707
2eelvYN68OI,43369,1148005334,1250
R1NtJP5LPhE,53923,96931539,655
4m6l-71uv9I,50750,59894275,380
4ZYSr6SdW54,237524,134546775,1702
6N5nzse3QjA,63855,327184122,772
QZnXJg-sAaY,41270,217943329,615
AqLrtEIjLUM,449702,535333784,1806
0e3KuTtO0Og,51232,654915467,3484
ARcGnhoLBVg,29768,285927073,682
w0DIWdMWtq0,50669,58252738749,40705
W84f80lQyHg,172170,273199252,1353
K9JAq6NmlXA,534768,2107374629,2304
C3jKNr8FEOQ,73062,88929670,587
_PSYiH-EWV0,78356,274992614,1533
mvX_E_BbWMM,123826,23100270614,18130
K0gRepZ0sec,243471,334716655,1302
vDqgLAZHKBk,629610,381401386,1120
gIHMPNTHfJc,84912,19820529887,13735
_HdplultZIQ,33485,34477141124,22496
H1g1eXY79Jg,123487,207490425,1070
G8Qy9O8oVho,64093,204042294,389
awcHBspsKNo,138820,5213342140,43031
2oVaKpTZN9s,83658,276087733,1562
FiS1dNM5zik,75237,122143991,581
uwbZuzqRfSs,46513,900905859,7693
MYtcQxCCYFs,83656,512552019,1234
vlg7x-pf1mE,275681,746799157,2168
neagzKBRqhM,95964,1675830459,942
TWtE5vmNAns,212671,475160777,1352
Ed7XhghjsG0,349585,201286652,615
OubGtYf3vbk,276846,188049600,706
QZ0la3_Qtm0,121620,1228282503,2095
OIHaWKfyDVc,37926,479472474,1142
3kVWWMWTiC0,178113,362191243,1527
qk6r-JEPsFU,82799,111930324,635
nyW6knEgzUI,114416,217291397,736
PSh1gT-qvww,161784,206200967,620
M1Q4krkYU0g,101132,18778202782,12885
Ft29suL3VJ4,296969,354255201,2090
uWsSsqzn5lw,20444,3987503197,15720
an8soNMxuMI,650140,565219776,3895
WNi4HUotozc,1335036,696402521,5510
ZgWpd6KYobg,603725,542430087,1575
NBQMwnZJcpc,904100,1911789595,2124
OQ99Xe-Ey7E,642597,668147284,2454
hXCHPseyi2A,7520939,457468997,1548
t_RG_fpQLGA,389392,147502122,619
OWFe8OV5y0g,199965,426079818,2855
Sb7i2HUUfOg,973367,903904828,4021
BPiM6Ot-Cts,199105,3634694,20
RrU5LL3_7ko,172690,512431369,1496
xA7Jrx7sSYs,207565,39847079,337
omflkryQ5gY,330517,9506966,51
URS5YKa_Okg,573916,102881430,857
sl30SNw6zIY,573252,173279199,118
ovAS3JuROJY,309013,826345963,641
cmIfO5Lstzk,141581,475922569,1498
yhZ9W2lVO-g,974344,1762787340,3182
wvgawcBL-a4,163445,1017158305,6114
XKkObWB6ZWk,75567,792496054,5769
TIGFehJC52A,136443,17353546364,13230
4wVgzpqvgDg,284811,2346350432,2338
yzvwy56MTOo,97425,238009678,1382
rQVDYjmtNSA,490722,1683779457,1046
jCTimO38FxU,242879,909913,15
MQRFNbsDGKE,784922,71756797,338
cZptiIRcHPI,88049,17906592919,14849
tov__JHrthg,489655,1122996283,8101
7qQvlk_7ASA,159046,1452512338,1195
B2oq0WQC5AE,117971,374713829,1734
ecfGWYofO5U,114685,91954014,1767
Zu0AZvVnXNg,656731,823610423,1103
I62LiQ64EWU,870643,152127735,871
DCVIjeGG6Ig,66354,31642279,365
e8LkVR1Yb-k,227231,86511988,553
99tRPUHIxcM,59217,14073446,79
mlmuIuBUG3o,290695,107655368,623
n9fzKMGMfLA,167627,332623233,1248
oMfnrzCzt1Q,86685,7379054189,12989
pZ1tDk6YQ78,150371,6594432,59
MbPRUlJ7RwY,130428,184665488,1162
VoKG7FyT-LQ,225297,2528196350,12337
srBRIxs9y1s,134766,1931709013,2219
KHOyKnLLikA,83502,29925733,30
tS83OJuol2M,64388,11563988,169
vE19STyLlG0,28281,147235385,2588
BUQYt6mv01w,434963,1856423668,11016
2jf6XiZTbWQ,721508,102921820,989
fBM1Q4A4RTY,70505,3071334972,26156
VYZymZ11kZk,28481,207353834,1277
bXf0tIAJCmI,45755,108263449,794
J9_PyWPW_DI,1020612,2762306722,7425
z4Qlc8AKqGo,35064,40636850390,26826
KvoOP6_2X9M,667461,263680273,1064
IA-cX-H2vPo,367881,189858322,697
-2nKmlghQrA,188412,662153941,2999
EtgstU2T-bU,63031,218116998,940
g_AuQMZKY6U,61111,1841587557,1072
wlQ4d9kQuFQ,44937,99696379,489
7wi2dNhYXYo,594147,1101704800,3324
luh5XFrbqvU,41831,26109173040,18770
LF02ajnc4jQ,522053,58092319,284
koaNd7TM5zY,49682,189598270,887
JTNQyRoYwIs,39678,201938230,1592
wdT-gwv97WU,189857,158146869,1005
WwjYl7tjKgI,899027,144295155,1106
W8EbIQaKB7I,173072,62270062,329
SVFZPfCymc0,145735,1450949138,985
YaeQBMNP7N8,53071,61172855648,42895
niYgD2q8Q6Q,28993,276813651,1337
EQlAfKA8f1o,54265,36964196,30
SuggHx2qNKY,41131,109019325,600
UTsmNkY7wlA,68057,121088257,529
6a8H_10GkIM,34978,12965468107,10951
bRJJm9UtUjw,62448,296957397,833
VTCEreL_Yvg,623539,477651993,1138
9Ko-nEYJ1GE,4813143,26698900,148
gbOnYTQnV0c,310214,863740183,1303
7tZuBj57PwY,123324,259229268,756
ve4FyqIrZoU,25552,57696684386,40599
c8nIv-W_SNY,78704,14120959182,11090
thXsAEBhwBQ,46879,221250897,1806
AZt6vf1w2Hk,35702,196391102,1675
hRqyWG20H0U,71893,756319628,3366
Xv8C2kaFBT4,534869,639102209,493
IrKCKIs-cfc,142597,157256763,1103
SfgSTn0aRME,111357,163905630,1167
tYOXlJSVuwo,151606,592035072,2465
6WEc-QGDL_g,38291,910676736,1190
e6kYDc1y-DE,315886,105797780,678
lk6cKsgGCek,35975,350398044,1447
xQ4AtlaDq4Y,149602,273284452,1982
rBqS1G2ENUA,63087,271115455,745
lLoRJnYdncM,281687,124446523,516
rKgPr1t7_kg,129953,3564973637,1982
QWfCC3PWhlg,297484,1054387327,1170
OkRjiGQPat4,233188,219902687,1085
GiU0oo8PA_w,234403,853848079,4850
28fUCbsshZ4,244795,57127681,395
ArPQbTWmqBU,40842,28679338428,22642
j_emfd-Tyhc,61386,281203501,942
j1m62Y8Uc3M,42550,256240415,776
3SmmPgoroOA,162419,630772353,1994
3vF_Lvwg7S8,193984,529473125,2606
IKuP7dw9lAo,128223,24949342,109
SVAfD6jz1WI,229039,105776243,725
a1uinFp--nE,92887,851856779,2097
YK3BZR3Ud9g,179250,820363785,1526
HQkRAhlGFgU,193245,520640249,2527
yCK23gkncA8,249782,905174346,1077
YyIowJoTS_M,126071,304604178,2384
5IwmRXuliN0,101661,28785859,695
PeYbWrg-Y00,276003,1227970747,902
nUZw6aJBexc,142142,734969774,2946
cljKH75rVc8,172074,1081059302,7103
_gV1_eNg-RM,157022,398519059,909
8uzRYMWrIZ8,95821,91760830,787
Lzyb8QWKrxU,62063,305911509,560
urSZoTmmIno,860938,366459838,1212
pWIFTVitrYQ,1021774,100771706,644
v7nZGvIZAhI,132998,6870618,36
fl-eJcX6oSQ,1715165,2087556451,3577
K0ipwWOjjgQ,1259541,104732982,421
43DIpoOAtVw,578365,959513456,7450
Lp8CIxLTtP4,128858,30384110,172
WzpYPwkVzok,941788,438968814,1686
aWIg1FRVILk,260703,765970455,2476
t1LrkKg17wI,262021,1044514014,891
co701oUQ3NM,213423,2175908646,1735
1AmPy2_mhJw,276970,108189607,501
3QMRyTqNdVs,255902,444167832,2100
PNw5gKbGcpM,179851,1098800678,5993
4XEFWSFdnzI,175721,666197195,6026
9ufTWKQbijA,313407,542900746,2048
QL0EkpMCtRI,1174633,228481453,1220
